Race,VR,Track,Change
0,9628,none,0.0
1,9691,rds,63.0
2,9771,tf,80.0
3,9690,rmr,-81.0
4,9682,rbc3,-8.0
5,9691,rsl,9.0
6,9724,lc,33.0
7,9633,rdkjp,-91.0
8,9552,rdh,-81.0
9,9600,kc,48.0
10,9599,mc,-1.0
11,9633,rsl,34.0
12,9667,ryf,34.0
13,9598,rmc,-69.0
14,9499,dksc,-99.0
15,9538,rmr,39.0
16,9573,rmc3,35.0
17,9604,bc,31.0
18,9471,mt,-133.0
19,9514,rsgb,43.0
20,9554,mh,40.0
21,9600,gv,46.0
22,9439,rds,-161.0
23,9364,ddr,-75.0
24,9372,rws,8.0
25,9384,tf,12.0
26,9425,kc,41.0
27,9476,wgm,51.0
28,9453,rgv2,-23.0
29,9426,rsl,-27.0
30,9468,lc,42.0
31,9474,rds,6.0
32,9514,rpb,40.0
33,9479,gv,-35.0
34,9464,dksc,-15.0
35,9500,rds,36.0
36,9275,lc,-225.0
37,9312,rdh,37.0
38,9313,rsgb,1.0
39,9172,mmm,-141.0
40,9198,mt,26.0
41,9269,rmc,71.0
42,9215,tf,-54.0
43,9197,rbc3,-18.0
44,9309,mg,112.0
45,9322,ddr,13.0
46,9088,bc,-234.0
47,9154,rbc,66.0
48,9228,rgv2,74.0
49,9149,rdkm,-79.0
50,9206,mc,57.0
51,9198,rmr,-8.0
52,9189,wgm,-9.0
53,9291,cm,102.0
54,9109,mh,-182.0
55,9016,rsl,-93.0
56,9012,rds,-4.0
57,8943,rpb,-69.0
58,8921,rr,-22.0
59,9012,tf,91.0
60,9062,dksc,50.0
61,9022,lc,-40.0
62,9098,rdh,76.0
63,9023,rpg,-75.0
64,9126,mg,103.0
65,9164,rdkjp,38.0
66,9069,rdkm,-95.0
67,9000,gv,-69.0
68,8962,mt,-38.0
69,8911,kc,-51.0
70,8924,wgm,13.0
71,8937,rsl,13.0
72,8879,cm,-58.0
73,8869,tf,-10.0
74,8804,ddr,-65.0
75,8794,rr,-10.0
76,8824,bc,30.0
77,8844,rbc3,20.0
78,8850,mc,6.0
79,8892,rds,42.0
80,8886,ddr,-6.0
81,8929,mh,43.0
82,8845,dksc,-84.0
83,8912,lc,67.0
84,8981,rds,69.0
85,9017,kc,36.0
86,9182,ct,165.0
87,9192,rmc,10.0
88,9182,rr,-10.0
89,9265,mg,83.0
90,9365,cm,100.0
91,9423,wgm,58.0
92,9500,bc,77.0
93,9581,rbc3,81.0
94,9632,mc,51.0